Time,Ex,Ey
1.000000000000000021e-03,3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,2.267190249511698674e+00,1.911256259334497276e+00
3.000000000000000062e-03,-1.788353051932370485e+00,3.360665893954113415e-01
4.000000000000000083e-03,1.654230877618090290e+00,1.071505124957318200e+00
5.000000000000000104e-03,7.285150520456953327e-01,1.843892363220711372e+00
6.000000000000000125e-03,9.747893765644236597e-01,2.091143858756738805e+00
7.000000000000000146e-03,9.998960418420212992e-01,2.104816261182944626e+00
8.000000000000000167e-03,9.999812949178044086e-01,2.105999878288227212e+00
9.000000000000001055e-03,9.999749969278100004e-01,2.106999886478436501e+00
1.000000000000000021e-02,9.999674969762828436e-01,2.107999857806914346e+00
1.099999999999999936e-02,9.999589970266778982e-01,2.108999821121646967e+00
1.200000000000000025e-02,9.999494971181185354e-01,2.109999775436265601e+00
1.300000000000000114e-02,9.999389972601175902e-01,2.110999719750819903e+00
1.400000000000000029e-02,9.999274974631747748e-01,2.111999653065365301e+00
1.499999999999999944e-02,9.999149977387897792e-01,2.112999574379968326e+00
1.600000000000000033e-02,9.999014980994623825e-01,2.113999482694706167e+00
1.700000000000000122e-02,9.998869985586910092e-01,2.114999377009671555e+00
1.800000000000000211e-02,9.998714991309748390e-01,2.115999256324970546e+00
1.899999999999999953e-02,9.998549998318149168e-01,2.116999119640722071e+00
2.000000000000000042e-02,9.998375006777090457e-01,2.117998965957063273e+00
2.100000000000000130e-02,9.998190016861557838e-01,2.118998794274147279e+00
2.199999999999999872e-02,9.997995028756541114e-01,2.119998603592146313e+00
2.299999999999999961e-02,9.997790042657032084e-01,2.120998392911250363e+00
2.400000000000000050e-02,9.997575058768015666e-01,2.121998161231669844e+00
2.500000000000000139e-02,9.997350077304459903e-01,2.122997907553636043e+00
2.600000000000000228e-02,9.997115098491350382e-01,2.123997630877402454e+00
2.699999999999999969e-02,9.996870122563675798e-01,2.124997330203245660e+00
2.800000000000000058e-02,9.996615149766389097e-01,2.125997004531466672e+00
2.900000000000000147e-02,9.996350180354476311e-01,2.126996652862388704e+00
2.999999999999999889e-02,9.996075214592896607e-01,2.127996274196366500e+00
3.099999999999999978e-02,9.995790252756617811e-01,2.128995867533775677e+00
3.200000000000000067e-02,9.995495295130597535e-01,2.129995431875024270e+00
