time,Ex,Ey
0,-3.999250041,0.930006166
0.001,-3.999168317,-0.072106515
0.002,-3.998927001,-0.076956394
0.003,-3.998422298,-0.08425655
0.004,-3.997563692,-0.093272204
0.005,-3.996304393,-0.103284022
0.006,-3.994646983,-0.11372421
0.007,-3.992626942,-0.124209718
0.008,-3.990292468,-0.134515775
0.009,-3.987691299,-0.144527604
0.01,-3.984864938,-0.154197618
0.011,-3.981847288,-0.163515914
0.012,-3.978665234,-0.17249223
0.013,-3.975339833,-0.181145617
0.014,-3.97188753,-0.189498757
0.015,-3.968321199,-0.197574951
0.016,-3.96465098,-0.205396608
0.017,-3.96088492,-0.212984542
0.018,-3.957029461,-0.220357719
0.019,-3.953089812,-0.227533233
0.02,-3.949070228,-0.234526396
0.021,-3.94497422,-0.241350879
0.022,-3.940804722,-0.248018878
0.023,-3.936564204,-0.254541266
0.024,-3.93225478,-0.260927748
0.025,-3.92787827,-0.267186994
0.026,-3.923436266,-0.273326761
0.027,-3.918930173,-0.279354003
0.028,-3.914361244,-0.285274962
0.029,-3.909730612,-0.291095254
0.03,-3.90503931,-0.296819936
0.031,-3.900288288,-0.302453575
0.032,-3.89547843,-0.308000296
0.033,-3.890610567,-0.313463835
0.034,-3.885685482,-0.31884758
0.035,-3.880703924,-0.324154604
0.036,-3.875666608,-0.329387701
0.037,-3.870574226,-0.334549413
0.038,-3.865427451,-0.339642054
0.039,-3.860226935,-0.344667734
0.04,-3.85497332,-0.349628375
0.041,-3.849667235,-0.354525733
0.042,-3.844309302,-0.359361408
0.043,-3.838900133,-0.364136864
0.044,-3.833440338,-0.368853435
0.045,-3.827930521,-0.37351234
0.046,-3.822371284,-0.378114691
0.047,-3.816763226,-0.382661504
0.048,-3.811106946,-0.387153704
0.049,-3.805403042,-0.391592135
0.05,-3.799652111,-0.395977564
0.051,-3.793854753,-0.40031069
0.052,-3.788011567,-0.404592147
0.053,-3.782123155,-0.408822509
0.054,-3.776190117,-0.413002298
0.055,-3.77021306,-0.417131983
